
 -------   CERRÓ EL MERCADO  :  6:0

 -------   Formulario Abierto ------ MENUDEO :  6:5

 -------    SIN DIVISAS  :  8:15

 -------    SIN DIVISAS  :  8:16

 -------    SIN DIVISAS  :  8:16

 -------    SIN DIVISAS  :  8:17

 -------    SIN DIVISAS  :  8:18

 -------    SIN DIVISAS  :  8:19

 -------    SIN DIVISAS  :  8:19

 -------    SIN DIVISAS  :  8:20

 -------    SIN DIVISAS  :  8:20

 -------    SIN DIVISAS  :  8:21

 -------    SIN DIVISAS  :  8:38

 -------    SIN DIVISAS  :  8:39

 -------    SIN DIVISAS  :  8:39

 -------    SIN DIVISAS  :  8:40

 -------    SIN DIVISAS  :  8:41

 -------    SIN DIVISAS  :  8:41

 -------    SIN DIVISAS  :  8:42

 -------    SIN DIVISAS  :  8:43

 -------    SIN DIVISAS  :  8:43

 -------    SIN DIVISAS  :  8:44

 -------    SIN DIVISAS  :  8:44

 -------    SIN DIVISAS  :  8:45

 -------    SIN DIVISAS  :  8:46

 -------    SIN DIVISAS  :  8:46

 -------    SIN DIVISAS  :  8:48

 -------    SIN DIVISAS  :  8:49

 -------    SIN DIVISAS  :  9:20

 -------    SIN DIVISAS  :  9:20

 -------    SIN DIVISAS  :  9:21

 -------    SIN DIVISAS  :  9:21

 -------    SIN DIVISAS  :  9:22

 -------    SIN DIVISAS  :  9:22

 -------    SIN DIVISAS  :  9:23

 -------    SIN DIVISAS  :  9:23

 -------    SIN DIVISAS  :  9:24

 -------    SIN DIVISAS  :  9:25

 -------    SIN DIVISAS  :  9:25

 -------    SIN DIVISAS  :  9:26

 -------    SIN DIVISAS  :  9:26

 -------    SIN DIVISAS  :  9:27

 -------    SIN DIVISAS  :  9:27

 -------    SIN DIVISAS  :  9:28

 -------    SIN DIVISAS  :  9:28

 -------    SIN DIVISAS  :  9:29

 -------   Formulario Abierto ------ MENUDEO :  9:29

 -------    SIN DIVISAS  :  9:30

 -------    SIN DIVISAS  :  9:31

 -------    SIN DIVISAS  :  9:31

 -------    SIN DIVISAS  :  9:38

 -------    SIN DIVISAS  :  9:39

 -------    SIN DIVISAS  :  9:39

 -------    SIN DIVISAS  :  9:40

 -------    SIN DIVISAS  :  9:40

 -------    SIN DIVISAS  :  9:41

 -------    SIN DIVISAS  :  9:42

 -------    SIN DIVISAS  :  9:42

 -------    SIN DIVISAS  :  9:45

 -------    SIN DIVISAS  :  9:46

 -------    SIN DIVISAS  :  9:48

 -------    SIN DIVISAS  :  9:48

 -------    SIN DIVISAS  :  9:49

 -------    SIN DIVISAS  :  9:49

 -------    SIN DIVISAS  :  9:50

 -------    SIN DIVISAS  :  9:51

 -------    SIN DIVISAS  :  9:54

 -------    SIN DIVISAS  :  9:55

 -------    SIN DIVISAS  :  9:56

 -------    SIN DIVISAS  :  9:56

 -------    SIN DIVISAS  :  9:57

 -------    SIN DIVISAS  :  9:57

 -------    SIN DIVISAS  :  9:58

 -------    SIN DIVISAS  :  9:59

 -------    SIN DIVISAS  :  10:0

 -------    SIN DIVISAS  :  10:0

 -------    SIN DIVISAS  :  10:1

 -------    SIN DIVISAS  :  10:2

 -------    SIN DIVISAS  :  10:3

 -------    SIN DIVISAS  :  10:3

 -------    SIN DIVISAS  :  10:4

 -------    SIN DIVISAS  :  10:4

 -------    SIN DIVISAS  :  10:5

 -------    SIN DIVISAS  :  10:5

 -------    SIN DIVISAS  :  10:6

 -------    SIN DIVISAS  :  10:7

 -------    SIN DIVISAS  :  10:7

 -------    SIN DIVISAS  :  10:8

 -------    SIN DIVISAS  :  10:9

 -------    SIN DIVISAS  :  10:9

 -------   Formulario Abierto ------ MENUDEO :  10:10

 -------    SIN DIVISAS  :  10:11

 -------    SIN DIVISAS  :  10:12

 -------    SIN DIVISAS  :  10:13

 -------    SIN DIVISAS  :  10:13

 -------    SIN DIVISAS  :  10:14

 -------    SIN DIVISAS  :  10:14

 -------    SIN DIVISAS  :  10:15

 -------    SIN DIVISAS  :  10:15

 -------    SIN DIVISAS  :  10:16

 -------    SIN DIVISAS  :  10:17

 -------    SIN DIVISAS  :  11:12

 -------    SIN DIVISAS  :  11:13

 -------    SIN DIVISAS  :  11:14

 -------    SIN DIVISAS  :  11:14

 -------    SIN DIVISAS  :  11:15

 -------    SIN DIVISAS  :  11:16

 -------    SIN DIVISAS  :  11:17

 -------    SIN DIVISAS  :  11:18

 -------    SIN DIVISAS  :  11:19

 -------    SIN DIVISAS  :  11:19

 -------    SIN DIVISAS  :  11:20

 -------    SIN DIVISAS  :  11:20

 -------    SIN DIVISAS  :  11:21

 -------    SIN DIVISAS  :  11:21

 -------    SIN DIVISAS  :  11:22

 -------    SIN DIVISAS  :  11:23

 -------    SIN DIVISAS  :  11:25

 -------    SIN DIVISAS  :  11:26

 -------    SIN DIVISAS  :  11:26

 -------    SIN DIVISAS  :  11:27

 -------    SIN DIVISAS  :  11:27

 -------    SIN DIVISAS  :  11:28

 -------    SIN DIVISAS  :  11:28

 -------    SIN DIVISAS  :  11:29

 -------    SIN DIVISAS  :  11:30

 -------    SIN DIVISAS  :  11:30

 -------    SIN DIVISAS  :  11:31

 -------    SIN DIVISAS  :  11:31

 -------    SIN DIVISAS  :  11:32

 -------    SIN DIVISAS  :  11:32

 -------    SIN DIVISAS  :  11:33

 -------    SIN DIVISAS  :  11:33

 -------    SIN DIVISAS  :  11:34

 -------    SIN DIVISAS  :  11:34

 -------    SIN DIVISAS  :  11:35

 -------   Formulario Abierto ------ MENUDEO :  11:35

 -------    SIN DIVISAS  :  11:36

 -------   Formulario Abierto ------ MENUDEO :  11:37

 -------    SIN DIVISAS  :  11:37

 -------    SIN DIVISAS  :  11:38

 -------    SIN DIVISAS  :  11:38

 -------    SIN DIVISAS  :  11:39

 -------    SIN DIVISAS  :  11:40

 -------    SIN DIVISAS  :  11:40

 -------    SIN DIVISAS  :  11:41

 -------    SIN DIVISAS  :  11:41

 -------    SIN DIVISAS  :  11:42

 -------    SIN DIVISAS  :  11:42

 -------    SIN DIVISAS  :  11:43

 -------    SIN DIVISAS  :  11:44

 -------    SIN DIVISAS  :  11:44

 -------    SIN DIVISAS  :  11:45

 -------    SIN DIVISAS  :  11:45

 -------    SIN DIVISAS  :  11:47

 -------    SIN DIVISAS  :  11:47

 -------    SIN DIVISAS  :  11:48

 -------    SIN DIVISAS  :  11:49

 -------    SIN DIVISAS  :  11:49

 -------    SIN DIVISAS  :  11:50

 -------    SIN DIVISAS  :  11:50

 -------    SIN DIVISAS  :  11:51

 -------    SIN DIVISAS  :  11:51

 -------    SIN DIVISAS  :  11:52

 -------    SIN DIVISAS  :  11:54

 -------    SIN DIVISAS  :  11:55

 -------    SIN DIVISAS  :  11:56

 -------    SIN DIVISAS  :  11:56

 -------    SIN DIVISAS  :  11:57

 -------    SIN DIVISAS  :  11:57

 -------    SIN DIVISAS  :  11:58

 -------    SIN DIVISAS  :  11:59

 -------    SIN DIVISAS  :  11:59

 -------    SIN DIVISAS  :  12:0

 -------    SIN DIVISAS  :  12:0

 -------    SIN DIVISAS  :  12:1

 -------    SIN DIVISAS  :  12:1

 -------    SIN DIVISAS  :  12:2

 -------    SIN DIVISAS  :  12:2

 -------    SIN DIVISAS  :  12:3

 -------    SIN DIVISAS  :  12:4

 -------    SIN DIVISAS  :  12:6

 -------    SIN DIVISAS  :  12:8

 -------    SIN DIVISAS  :  12:8

 -------    SIN DIVISAS  :  12:9

 -------    SIN DIVISAS  :  12:9

 -------    SIN DIVISAS  :  12:11

 -------    SIN DIVISAS  :  12:11

 -------    SIN DIVISAS  :  12:12

 -------    SIN DIVISAS  :  12:13

 -------    SIN DIVISAS  :  12:14

 -------    SIN DIVISAS  :  12:14

 -------    SIN DIVISAS  :  12:15

 -------    SIN DIVISAS  :  12:15

 -------    SIN DIVISAS  :  12:16

 -------    SIN DIVISAS  :  12:17

 -------    SIN DIVISAS  :  12:17

 -------    SIN DIVISAS  :  12:18

 -------    SIN DIVISAS  :  12:19

 -------    SIN DIVISAS  :  12:19

 -------    SIN DIVISAS  :  12:20

 -------    SIN DIVISAS  :  12:21

 -------    SIN DIVISAS  :  12:21

 -------    SIN DIVISAS  :  12:22

 -------    SIN DIVISAS  :  12:22

 -------    SIN DIVISAS  :  12:23

 -------    SIN DIVISAS  :  12:23

 -------    SIN DIVISAS  :  12:24

 -------    SIN DIVISAS  :  12:24

 -------    SIN DIVISAS  :  12:25

 -------    SIN DIVISAS  :  12:26

 -------    SIN DIVISAS  :  12:26

 -------    SIN DIVISAS  :  12:27

 -------    SIN DIVISAS  :  13:8

 -------    SIN DIVISAS  :  13:8

 -------    SIN DIVISAS  :  13:9

 -------    SIN DIVISAS  :  13:10

 -------    SIN DIVISAS  :  13:11

 -------    SIN DIVISAS  :  13:12

 -------    SIN DIVISAS  :  13:13

 -------    SIN DIVISAS  :  13:13

 -------    SIN DIVISAS  :  13:14

 -------    SIN DIVISAS  :  13:15

 -------    SIN DIVISAS  :  13:15

 -------    SIN DIVISAS  :  13:16

 -------    SIN DIVISAS  :  13:16

 -------    SIN DIVISAS  :  13:17

 -------    SIN DIVISAS  :  13:18

 -------    SIN DIVISAS  :  13:18

 -------    SIN DIVISAS  :  13:19

 -------    SIN DIVISAS  :  13:20

 -------    SIN DIVISAS  :  13:20

 -------    SIN DIVISAS  :  13:21

 -------    SIN DIVISAS  :  13:21

 -------    SIN DIVISAS  :  13:22

 -------    SIN DIVISAS  :  13:22

 -------    SIN DIVISAS  :  13:23

 -------    SIN DIVISAS  :  13:24

 -------    SIN DIVISAS  :  13:24

 -------    SIN DIVISAS  :  13:25

 -------    SIN DIVISAS  :  13:25

 -------    SIN DIVISAS  :  13:26

 -------    SIN DIVISAS  :  13:27

 -------    SIN DIVISAS  :  13:27

 -------    SIN DIVISAS  :  13:28

 -------    SIN DIVISAS  :  13:28

 -------    SIN DIVISAS  :  13:29

 -------    SIN DIVISAS  :  13:29

 -------    SIN DIVISAS  :  13:30

 -------    SIN DIVISAS  :  13:30

 -------    SIN DIVISAS  :  13:31

 -------    SIN DIVISAS  :  13:31

 -------    SIN DIVISAS  :  13:44

 -------    SIN DIVISAS  :  13:45

 -------    SIN DIVISAS  :  13:45

 -------    SIN DIVISAS  :  13:46

 -------    SIN DIVISAS  :  13:46

 -------    SIN DIVISAS  :  13:47

 -------    SIN DIVISAS  :  13:48

 -------    SIN DIVISAS  :  13:49

 -------    SIN DIVISAS  :  14:39

 -------    SIN DIVISAS  :  14:40

 -------    SIN DIVISAS  :  14:40

 -------   Formulario Abierto ------ MENUDEO :  14:41

 -------    SIN DIVISAS  :  14:47

 -------    SIN DIVISAS  :  14:48

 -------    SIN DIVISAS  :  14:49

 -------    SIN DIVISAS  :  14:49

 -------    SIN DIVISAS  :  14:50

 -------    SIN DIVISAS  :  14:51

 -------    SIN DIVISAS  :  14:51

 -------    SIN DIVISAS  :  14:52

 -------    SIN DIVISAS  :  14:52

 -------    SIN DIVISAS  :  14:53

 -------    SIN DIVISAS  :  14:54

 -------    SIN DIVISAS  :  14:54

 -------    SIN DIVISAS  :  14:55

 -------    SIN DIVISAS  :  14:55

 -------    SIN DIVISAS  :  14:56

 -------    SIN DIVISAS  :  14:57

 -------    SIN DIVISAS  :  14:57

 -------    SIN DIVISAS  :  14:58

 -------    SIN DIVISAS  :  14:59

 -------    SIN DIVISAS  :  14:59

 -------    SIN DIVISAS  :  15:0

 -------    SIN DIVISAS  :  15:0

 -------    SIN DIVISAS  :  15:1

 -------    SIN DIVISAS  :  15:2

 -------    SIN DIVISAS  :  15:2

 -------    SIN DIVISAS  :  15:3

 -------    SIN DIVISAS  :  15:3

 -------    SIN DIVISAS  :  15:4

 -------    SIN DIVISAS  :  15:12

 -------    SIN DIVISAS  :  15:13

 -------    SIN DIVISAS  :  15:13

 -------    SIN DIVISAS  :  15:14

 -------    SIN DIVISAS  :  15:14

 -------    SIN DIVISAS  :  15:15

 -------    SIN DIVISAS  :  15:15

 -------    SIN DIVISAS  :  15:16

 -------    SIN DIVISAS  :  15:16

 -------    SIN DIVISAS  :  15:17

 -------    SIN DIVISAS  :  15:18

 -------    SIN DIVISAS  :  15:18

 -------   Formulario Abierto ------ MENUDEO :  15:19

 -------    SIN DIVISAS  :  15:20

 -------    SIN DIVISAS  :  15:20

 -------    SIN DIVISAS  :  15:21

 -------    SIN DIVISAS  :  15:22

 -------    SIN DIVISAS  :  15:23

 -------   Formulario Abierto ------ MENUDEO :  15:23

 -------    SIN DIVISAS  :  15:25

 -------    SIN DIVISAS  :  15:26

 -------    SIN DIVISAS  :  15:26

 -------    SIN DIVISAS  :  15:27

 -------    SIN DIVISAS  :  15:27

 -------    SIN DIVISAS  :  15:28

 -------   Formulario Abierto ------ MENUDEO :  15:28

 -------    SIN DIVISAS  :  15:42

 -------    SIN DIVISAS  :  15:43

 -------    SIN DIVISAS  :  15:43

 -------    SIN DIVISAS  :  15:45

 -------    SIN DIVISAS  :  15:45

 -------    SIN DIVISAS  :  15:46

 -------    SIN DIVISAS  :  15:47

 -------    SIN DIVISAS  :  15:47

 -------    SIN DIVISAS  :  15:48

 -------    SIN DIVISAS  :  15:49

 -------    SIN DIVISAS  :  15:49

 -------    SIN DIVISAS  :  15:50

 -------    SIN DIVISAS  :  15:50

 -------   Formulario Abierto ------ MENUDEO :  15:53

 -------    SIN DIVISAS  :  15:54

 -------   Formulario Abierto ------ MENUDEO :  15:54

 -------    SIN DIVISAS  :  15:55

 -------    SIN DIVISAS  :  15:56

 -------    SIN DIVISAS  :  15:57

 -------    SIN DIVISAS  :  15:57

 -------    SIN DIVISAS  :  15:58

 -------    SIN DIVISAS  :  15:58

 -------    SIN DIVISAS  :  15:59

 -------    SIN DIVISAS  :  16:0

 -------    SIN DIVISAS  :  16:1

 -------    SIN DIVISAS  :  16:1

 -------    SIN DIVISAS  :  16:2

 -------    SIN DIVISAS  :  16:3

 -------    SIN DIVISAS  :  16:5

 -------    SIN DIVISAS  :  16:6

 -------    SIN DIVISAS  :  16:7

 -------    SIN DIVISAS  :  16:7

 -------    SIN DIVISAS  :  16:8

 -------    SIN DIVISAS  :  16:8

 -------    SIN DIVISAS  :  16:9

 -------    SIN DIVISAS  :  16:10

 -------    SIN DIVISAS  :  16:12

 -------    SIN DIVISAS  :  16:13

 -------    SIN DIVISAS  :  16:13

 -------    SIN DIVISAS  :  16:14

 -------    SIN DIVISAS  :  16:15

 -------   Formulario Abierto ------ MENUDEO :  16:15

 -------    SIN DIVISAS  :  16:17

 -------    SIN DIVISAS  :  16:18

 -------    SIN DIVISAS  :  16:18

 -------    SIN DIVISAS  :  16:19

 -------    SIN DIVISAS  :  16:19

 -------    SIN DIVISAS  :  16:20

 -------   Formulario Abierto ------ MENUDEO :  16:20

 -------    SIN DIVISAS  :  16:21

 -------    SIN DIVISAS  :  16:22

 -------    SIN DIVISAS  :  16:24

 -------    SIN DIVISAS  :  16:24

 -------    SIN DIVISAS  :  16:25

 -------    SIN DIVISAS  :  16:26

 -------    SIN DIVISAS  :  16:26

 -------    SIN DIVISAS  :  16:27

 -------    SIN DIVISAS  :  16:27

 -------    SIN DIVISAS  :  16:28

 -------    SIN DIVISAS  :  16:28

 -------    SIN DIVISAS  :  16:29

 -------    SIN DIVISAS  :  16:29

 -------    SIN DIVISAS  :  16:30

 -------    SIN DIVISAS  :  16:30

 -------    SIN DIVISAS  :  16:31

 -------    SIN DIVISAS  :  16:31

 -------    SIN DIVISAS  :  16:32

 -------    SIN DIVISAS  :  16:33

 -------    SIN DIVISAS  :  16:33

 -------    SIN DIVISAS  :  16:34

 -------    SIN DIVISAS  :  16:34

 -------    SIN DIVISAS  :  16:35

 -------    SIN DIVISAS  :  16:35

 -------    SIN DIVISAS  :  16:36

 -------    SIN DIVISAS  :  16:37

 -------    SIN DIVISAS  :  16:37

 -------    SIN DIVISAS  :  16:38

 -------    SIN DIVISAS  :  16:38

 -------    SIN DIVISAS  :  16:39

 -------    SIN DIVISAS  :  16:40

 -------    SIN DIVISAS  :  16:40

 -------    SIN DIVISAS  :  16:42

 -------    SIN DIVISAS  :  16:43

 -------    SIN DIVISAS  :  16:44

 -------    SIN DIVISAS  :  16:44

 -------    SIN DIVISAS  :  16:45

 -------    SIN DIVISAS  :  16:46

 -------    SIN DIVISAS  :  16:48

 -------    SIN DIVISAS  :  16:48

 -------    SIN DIVISAS  :  16:49

 -------    SIN DIVISAS  :  16:50

 -------    SIN DIVISAS  :  16:51

 -------    SIN DIVISAS  :  16:51

 -------    SIN DIVISAS  :  16:52

 -------    SIN DIVISAS  :  16:52

 -------    SIN DIVISAS  :  16:53

 -------    SIN DIVISAS  :  16:54

